Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.090000,6.110000,5.880000,5.960000,5.648391,28331316
2019-01-03,5.960000,6.000000,5.900000,6.000000,5.686299,19358690
2019-01-04,6.000000,6.080000,5.950000,6.050000,5.733685,22887788
2019-01-07,6.110000,6.130000,6.070000,6.110000,5.790548,18998043
2019-01-08,6.100000,6.150000,6.090000,6.150000,5.828457,26833615
2019-01-09,6.200000,6.310000,6.170000,6.240000,5.913751,51421695
2019-01-10,6.320000,6.320000,6.160000,6.190000,5.866366,28669961
2019-01-11,6.200000,6.300000,6.200000,6.300000,5.970615,39376252
2019-01-14,6.300000,6.340000,6.260000,6.340000,6.008523,40311340
2019-01-15,6.350000,6.460000,6.340000,6.440000,6.103295,41119287
2019-01-16,6.360000,6.440000,6.330000,6.430000,6.093818,33311759
2019-01-17,6.440000,6.440000,6.280000,6.340000,6.008523,27322047
2019-01-18,6.400000,6.420000,6.360000,6.390000,6.055909,21818587
2019-01-21,6.450000,6.450000,6.370000,6.440000,6.103295,31341611
2019-01-22,6.430000,6.460000,6.350000,6.420000,6.084341,25033123
2019-01-23,6.470000,6.480000,6.410000,6.450000,6.112772,24303635
2019-01-24,6.490000,6.490000,6.390000,6.430000,6.093818,24523454
2019-01-25,6.430000,6.490000,6.400000,6.480000,6.141203,28863578
2019-01-28,6.430000,6.550000,6.430000,6.520000,6.179112,37739308
2019-01-29,6.550000,6.560000,6.460000,6.550000,6.207544,30273967
2019-01-30,6.570000,6.570000,6.460000,6.520000,6.179112,34611275
2019-01-31,6.570000,6.650000,6.520000,6.650000,6.302315,27852464
2019-02-01,6.680000,6.700000,6.560000,6.600000,6.254930,21976018
2019-02-04,6.550000,6.630000,6.550000,6.610000,6.264407,13278349
2019-02-08,6.480000,6.610000,6.480000,6.580000,6.235975,26518191
2019-02-11,6.580000,6.600000,6.490000,6.580000,6.235975,20920906
2019-02-12,6.580000,6.580000,6.450000,6.500000,6.160158,28366954
2019-02-13,6.560000,6.620000,6.530000,6.610000,6.264407,29448132
2019-02-14,6.540000,6.640000,6.540000,6.630000,6.283361,21741145
2019-02-15,6.560000,6.650000,6.480000,6.510000,6.169635,18912555
2019-02-18,6.590000,6.630000,6.540000,6.560000,6.217021,14629259
2019-02-19,6.620000,6.620000,6.530000,6.550000,6.207544,15320995
2019-02-20,6.610000,6.620000,6.540000,6.560000,6.217021,27537120
2019-02-21,6.550000,6.600000,6.500000,6.590000,6.245452,25339798
2019-02-22,6.610000,6.640000,6.580000,6.590000,6.245452,26189607
