Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.430000,6.440000,6.240000,6.270000,5.944877,293381498
2019-01-03,6.250000,6.300000,6.220000,6.290000,5.963840,192685652
2019-01-04,6.240000,6.430000,6.240000,6.410000,6.077617,232020850
2019-01-07,6.470000,6.520000,6.410000,6.420000,6.087099,179572604
2019-01-08,6.420000,6.450000,6.370000,6.420000,6.087099,235721807
2019-01-09,6.540000,6.620000,6.510000,6.570000,6.229321,461347303
2019-01-10,6.520000,6.580000,6.470000,6.570000,6.229321,265467818
2019-01-11,6.630000,6.630000,6.540000,6.580000,6.238802,341656632
2019-01-14,6.530000,6.560000,6.450000,6.490000,6.153469,232528607
2019-01-15,6.550000,6.610000,6.510000,6.600000,6.257765,279198206
2019-01-16,6.550000,6.580000,6.530000,6.570000,6.229321,270154653
2019-01-17,6.540000,6.610000,6.490000,6.560000,6.219839,275582013
2019-01-18,6.640000,6.660000,6.600000,6.630000,6.286210,323388040
2019-01-21,6.630000,6.690000,6.620000,6.690000,6.343098,251613616
2019-01-22,6.690000,6.720000,6.620000,6.650000,6.305172,239593252
2019-01-23,6.660000,6.700000,6.610000,6.670000,6.324135,253062505
2019-01-24,6.710000,6.710000,6.650000,6.700000,6.352580,232631302
2019-01-25,6.750000,6.830000,6.710000,6.820000,6.466357,376942510
2019-01-28,6.870000,6.920000,6.850000,6.880000,6.523246,320075989
2019-01-29,6.830000,6.920000,6.820000,6.920000,6.561172,337006393
2019-01-30,6.930000,6.940000,6.860000,6.940000,6.580135,305143593
2019-01-31,6.980000,7.050000,6.950000,7.010000,6.646505,389974114
2019-02-01,7.100000,7.100000,6.960000,7.000000,6.637023,301218520
2019-02-04,7.050000,7.060000,6.930000,6.950000,6.589616,147438236
2019-02-08,6.850000,6.930000,6.790000,6.910000,6.551690,258113143
2019-02-11,6.950000,6.970000,6.860000,6.950000,6.589616,252876146
2019-02-12,6.950000,6.960000,6.890000,6.940000,6.580135,198399367
2019-02-13,6.930000,7.000000,6.910000,6.990000,6.627542,270842468
2019-02-14,7.020000,7.020000,6.940000,6.980000,6.618061,187661710
2019-02-15,6.920000,6.940000,6.800000,6.800000,6.447394,320269880
2019-02-18,6.880000,6.940000,6.870000,6.900000,6.542209,213817527
2019-02-19,6.940000,6.940000,6.840000,6.850000,6.494802,297865132
2019-02-20,6.940000,7.000000,6.850000,6.890000,6.532727,353334410
2019-02-21,6.930000,6.970000,6.860000,6.940000,6.580135,325039687
2019-02-22,6.890000,6.940000,6.850000,6.940000,6.580135,337161291
2019-02-25,6.960000,7.150000,6.940000,7.140000,6.769764,918999021
2019-02-26,7.140000,7.170000,7.080000,7.090000,6.722357,604315569
2019-02-27,7.130000,7.170000,7.010000,7.070000,6.703394,500811674
2019-02-28,7.070000,7.080000,6.940000,6.980000,6.618061,385773078
2019-03-01,7.030000,7.030000,6.880000,6.990000,6.627542,380832464
2019-03-04,7.000000,7.160000,6.990000,7.080000,6.712875,522991119
2019-03-05,7.070000,7.160000,7.000000,7.120000,6.750801,415571799
2019-03-06,7.100000,7.150000,7.070000,7.120000,6.750801,323658642
2019-03-07,7.150000,7.150000,7.060000,7.080000,6.712875,354557164
2019-03-08,6.970000,7.010000,6.890000,6.890000,6.532727,495829903
2019-03-11,6.950000,6.970000,6.870000,6.950000,6.589616,334631832
2019-03-12,7.000000,7.090000,6.980000,7.060000,6.693913,345093071
2019-03-13,7.050000,7.060000,6.950000,7.000000,6.637023,165906391
2019-03-14,7.000000,7.010000,6.930000,6.970000,6.608579,214970007
2019-03-15,6.980000,7.030000,6.960000,7.000000,6.637023,312006995
2019-03-18,7.030000,7.050000,6.970000,7.050000,6.684431,358035848
2019-03-19,7.050000,7.090000,7.010000,7.070000,6.703394,246850947
2019-03-20,7.010000,7.050000,6.990000,7.020000,6.655986,222202830
2019-03-21,7.040000,7.040000,6.950000,6.950000,6.589616,250737112
2019-03-22,6.950000,6.990000,6.910000,6.940000,6.580135,278601197
2019-03-25,6.810000,6.870000,6.800000,6.810000,6.456876,306827609
2019-03-26,6.840000,6.850000,6.770000,6.800000,6.447394,249566530
2019-03-27,6.800000,6.870000,6.790000,6.860000,6.504283,232839451
2019-03-28,6.780000,6.820000,6.740000,6.820000,6.466357,344972245
2019-03-29,6.790000,6.820000,6.730000,6.730000,6.381024,741359625
2019-04-01,6.800000,6.900000,6.800000,6.900000,6.542209,607363877
2019-04-02,6.950000,6.960000,6.850000,6.880000,6.523246,314795098
2019-04-03,6.900000,6.930000,6.880000,6.920000,6.561172,306455040
2019-04-04,6.960000,6.990000,6.930000,6.960000,6.599098,327086221
2019-04-08,6.990000,7.040000,6.980000,7.010000,6.646505,424871977
2019-04-09,6.970000,7.000000,6.970000,6.990000,6.627542,235023731
2019-04-10,6.930000,6.960000,6.900000,6.920000,6.561172,283491686
2019-04-11,6.890000,6.910000,6.850000,6.870000,6.513764,328602523
2019-04-12,6.830000,6.930000,6.800000,6.930000,6.570653,257976108
2019-04-15,6.980000,7.070000,6.900000,6.910000,6.551690,339887232
2019-04-16,6.880000,7.190000,6.870000,7.180000,6.807690,802460583
2019-04-17,7.200000,7.210000,7.150000,7.160000,6.788727,466529370
2019-04-18,7.140000,7.160000,7.030000,7.060000,6.693913,412431725
2019-04-23,6.960000,7.010000,6.960000,7.010000,6.646505,275959132
2019-04-24,7.010000,7.030000,6.910000,6.960000,6.599098,289525467
2019-04-25,6.900000,6.940000,6.890000,6.910000,6.551690,312400812
2019-04-26,6.900000,6.950000,6.900000,6.910000,6.551690,246868462
2019-04-29,6.910000,6.990000,6.880000,6.990000,6.627542,228137877
2019-04-30,6.960000,7.000000,6.920000,6.930000,6.570653,174526577
2019-05-02,6.900000,6.980000,6.900000,6.960000,6.599098,220047158
2019-05-03,6.940000,6.990000,6.900000,6.990000,6.627542,148559288
2019-05-06,6.850000,6.870000,6.730000,6.820000,6.466357,501589270
2019-05-07,6.810000,6.840000,6.740000,6.780000,6.428432,380523372
2019-05-08,6.670000,6.690000,6.640000,6.650000,6.305172,436916141
2019-05-09,6.600000,6.610000,6.440000,6.440000,6.106062,556495943
2019-05-10,6.470000,6.570000,6.410000,6.470000,6.134506,378670066
2019-05-14,6.270000,6.350000,6.270000,6.330000,6.001766,765535544
2019-05-15,6.300000,6.370000,6.300000,6.300000,5.973321,604059209
2019-05-16,6.270000,6.370000,6.260000,6.330000,6.001766,651240675
2019-05-17,6.350000,6.360000,6.260000,6.290000,5.963840,397551009
2019-05-20,6.320000,6.340000,6.260000,6.290000,5.963840,345356633
2019-05-21,6.260000,6.380000,6.260000,6.310000,5.982802,486834190
2019-05-22,6.290000,6.360000,6.280000,6.290000,5.963840,349394970
2019-05-23,6.260000,6.320000,6.200000,6.230000,5.906951,442085596
2019-05-24,6.200000,6.290000,6.200000,6.250000,5.925914,297206049
2019-05-27,6.200000,6.230000,6.180000,6.210000,5.887988,260157623
2019-05-28,6.210000,6.260000,6.170000,6.190000,5.869025,550689935
2019-05-29,6.150000,6.200000,6.150000,6.150000,5.831100,423864570
2019-05-30,6.130000,6.240000,6.130000,6.200000,5.878506,410578212
2019-05-31,6.190000,6.270000,6.180000,6.200000,5.878506,346850117
2019-06-03,6.170000,6.210000,6.160000,6.180000,5.859543,344713049
2019-06-04,6.180000,6.190000,6.110000,6.140000,5.821618,361939035
2019-06-05,6.180000,6.210000,6.130000,6.150000,5.831100,355191880
2019-06-06,6.140000,6.190000,6.130000,6.180000,5.859543,288640537
2019-06-10,6.180000,6.340000,6.170000,6.310000,5.982802,589300411
2019-06-11,6.320000,6.420000,6.300000,6.390000,6.058654,420149580
2019-06-12,6.340000,6.360000,6.300000,6.310000,5.982802,443296865
2019-06-13,6.250000,6.330000,6.210000,6.320000,5.992284,347828872
2019-06-14,6.280000,6.380000,6.280000,6.330000,6.001766,476985803
2019-06-17,6.330000,6.410000,6.330000,6.350000,6.020729,276962333
2019-06-18,6.320000,6.440000,6.320000,6.420000,6.087099,367057137
2019-06-19,6.590000,6.590000,6.510000,6.540000,6.200876,398020633
2019-06-20,6.570000,6.620000,6.540000,6.600000,6.257765,277009880
2019-06-21,6.600000,6.620000,6.550000,6.570000,6.229321,408410779
2019-06-24,6.570000,6.620000,6.560000,6.590000,6.248284,232402712
2019-06-25,6.560000,6.620000,6.490000,6.510000,6.172432,421625317
2019-06-26,6.470000,6.590000,6.470000,6.570000,6.229321,336702641
2019-06-27,6.590000,6.700000,6.580000,6.680000,6.333617,449929117
2019-06-28,6.690000,6.740000,6.660000,6.730000,6.381024,454770107
2019-07-02,6.400000,6.460000,6.380000,6.390000,6.390000,406419765
2019-07-03,6.340000,6.360000,6.280000,6.310000,6.310000,271229878
2019-07-04,6.290000,6.330000,6.290000,6.300000,6.300000,179679265
2019-07-05,6.300000,6.320000,6.250000,6.270000,6.270000,165104762
2019-07-08,6.200000,6.220000,6.170000,6.190000,6.190000,275650046
2019-07-09,6.170000,6.210000,6.140000,6.140000,6.140000,248225739
2019-07-10,6.170000,6.190000,6.120000,6.140000,6.140000,175812386
2019-07-11,6.150000,6.240000,6.150000,6.210000,6.210000,182001897
2019-07-12,6.240000,6.320000,6.220000,6.250000,6.250000,312359871
2019-07-15,6.200000,6.290000,6.180000,6.270000,6.270000,193879351
2019-07-16,6.270000,6.280000,6.210000,6.250000,6.250000,151414012
2019-07-17,6.200000,6.230000,6.180000,6.220000,6.220000,140215687
2019-07-18,6.180000,6.220000,6.180000,6.190000,6.190000,170930337
2019-07-19,6.240000,6.280000,6.220000,6.250000,6.250000,275252966
2019-07-22,6.230000,6.260000,6.160000,6.160000,6.160000,223978342
2019-07-23,6.180000,6.210000,6.160000,6.180000,6.180000,187697860
2019-07-24,6.200000,6.260000,6.170000,6.170000,6.170000,182166331
2019-07-25,6.160000,6.220000,6.160000,6.190000,6.190000,148943696
2019-07-26,6.140000,6.220000,6.140000,6.200000,6.200000,257912174
2019-07-29,6.200000,6.200000,6.120000,6.130000,6.130000,312966643
2019-07-30,6.110000,6.200000,6.110000,6.150000,6.150000,289806742
2019-07-31,6.110000,6.130000,6.050000,6.070000,6.070000,314793627
2019-08-01,6.010000,6.070000,6.010000,6.040000,6.040000,385456795
