Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,30.150000,30.200001,28.000000,28.250000,27.180344,10736057
2019-01-03,28.150000,29.299999,28.100000,29.000000,27.901947,13757451
2019-01-04,28.750000,29.900000,28.549999,29.750000,28.623547,7105730
2019-01-07,30.600000,30.700001,29.650000,29.799999,28.671654,7602227
2019-01-08,29.950001,30.100000,28.850000,29.450001,28.334908,13728033
2019-01-09,30.549999,31.000000,29.950001,30.799999,29.633789,15983182
2019-01-10,29.799999,30.850000,29.799999,30.650000,29.489470,10963671
2019-01-11,31.400000,31.400000,30.850000,31.250000,30.066751,12867029
2019-01-14,30.850000,31.299999,30.600000,30.900000,29.730005,9121302
2019-01-15,31.299999,31.750000,30.799999,31.549999,30.355392,12933410
2019-01-16,31.100000,31.299999,30.600000,30.950001,29.778112,13918244
2019-01-17,30.700001,30.850000,30.150000,30.450001,29.297045,18022671
2019-01-18,30.700001,31.450001,30.250000,31.150000,29.970539,10446423
2019-01-21,31.450001,31.450001,30.450001,30.549999,29.393257,8723734
2019-01-22,30.799999,30.900000,29.250000,29.950001,28.815977,17488000
2019-01-23,29.500000,30.049999,29.450001,29.799999,28.671654,18044099
2019-01-24,30.000000,30.150000,29.250000,29.650000,28.527334,15606995
2019-01-25,29.700001,30.150000,29.250000,29.299999,28.190586,38041598
2019-01-28,29.500000,29.700001,29.250000,29.500000,28.383015,16083730
2019-01-29,29.200001,29.700001,28.799999,29.500000,28.383015,13353637
2019-01-30,29.700001,31.350000,29.500000,30.549999,29.393257,24381782
2019-01-31,31.250000,31.350000,30.299999,30.500000,29.345150,17421422
2019-02-01,30.799999,30.850000,30.150000,30.350000,29.200829,9738182
2019-02-04,30.350000,30.350000,29.650000,29.850000,28.719763,6561485
2019-02-08,29.350000,29.700001,28.799999,29.500000,28.383015,12818338
2019-02-11,29.250000,30.000000,29.200001,29.750000,28.623547,9893951
2019-02-12,29.850000,30.000000,29.400000,29.450001,28.334908,11811087
2019-02-13,29.900000,30.400000,29.549999,30.150000,29.008402,9478902
2019-02-14,30.450001,30.450001,29.700001,29.850000,28.719763,12287445
2019-02-15,29.750000,29.799999,28.900000,29.100000,27.998159,11299698
2019-02-18,29.400000,29.650000,29.200001,29.450001,28.334908,11617861
2019-02-19,29.650000,30.000000,29.450001,29.700001,28.575441,10046291
2019-02-20,30.000000,30.049999,29.600000,29.900000,28.767868,12539452
2019-02-21,30.150000,30.850000,29.500000,30.650000,29.489470,16780068
2019-02-22,30.500000,30.900000,30.100000,30.850000,29.681898,12351390
2019-02-25,30.750000,30.799999,29.850000,30.150000,29.008402,14831075
2019-02-26,30.049999,30.350000,29.600000,29.850000,28.719763,10491636
2019-02-27,29.850000,30.100000,29.400000,29.500000,28.383015,10764968
2019-02-28,29.150000,29.900000,29.150000,29.299999,28.190586,10995728
2019-03-01,29.549999,30.000000,29.150000,29.799999,28.671654,14689106
2019-03-04,29.450001,30.549999,29.450001,29.950001,28.815977,10708007
2019-03-05,29.799999,30.299999,29.750000,30.049999,28.912188,10550631
2019-03-06,30.200001,31.000000,29.900000,30.900000,29.730005,14159517
2019-03-07,30.850000,30.950001,30.350000,30.549999,29.393257,9134120
2019-03-08,30.100000,30.600000,29.350000,29.799999,28.671654,28463507
2019-03-11,29.950001,30.100000,29.200001,29.950001,28.815977,7968271
2019-03-12,30.299999,31.100000,30.150000,31.049999,29.874325,11282458
2019-03-13,31.450001,31.450001,30.600000,30.799999,29.633789,4445364
2019-03-14,30.750000,30.950001,29.950001,30.350000,29.200829,7567435
2019-03-15,30.150000,31.600000,30.150000,31.200001,30.018646,12744696
2019-03-18,31.700001,34.049999,31.400000,34.049999,32.760735,23645529
2019-03-19,33.799999,34.049999,33.200001,33.799999,32.520199,17133951
2019-03-20,33.400002,33.549999,32.650002,33.250000,31.991024,13683342
2019-03-21,33.099998,33.450001,32.200001,32.450001,31.221317,17879377
2019-03-22,32.700001,32.799999,31.900000,32.450001,31.221317,7237667
2019-03-25,31.299999,32.450001,31.299999,32.150002,30.932676,7650206
2019-03-26,33.000000,33.000000,31.850000,32.650002,31.413744,10349939
2019-03-27,32.799999,33.950001,32.500000,33.599998,32.327770,18619466
2019-03-28,33.250000,34.000000,33.000000,33.650002,32.375877,15849087
2019-03-29,34.000000,35.349998,33.650002,35.200001,33.867191,20158261
2019-04-01,36.849998,37.349998,35.849998,36.000000,34.636898,25795450
2019-04-02,35.799999,35.950001,35.299999,35.799999,34.444469,15003593
2019-04-03,36.000000,36.450001,35.700001,35.849998,34.492577,12626884
2019-04-04,35.599998,35.900002,35.250000,35.400002,34.059616,7775594
2019-04-08,35.799999,36.299999,35.500000,35.950001,34.588795,14329777
2019-04-09,36.299999,36.299999,35.450001,35.750000,34.396362,16609698
2019-04-10,35.799999,36.000000,34.849998,34.849998,33.530441,18317295
2019-04-11,34.750000,34.950001,33.900002,34.299999,33.001266,15535034
2019-04-12,34.599998,34.700001,33.849998,34.500000,33.193695,15310528
2019-04-15,34.900002,35.650002,34.299999,34.349998,33.049374,15357670
