Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,8.430000,8.430000,8.060000,8.070000,7.945417,22070046
2019-01-03,8.100000,8.150000,8.020000,8.080000,7.955263,30270484
2019-01-04,8.030000,8.340000,8.030000,8.320000,8.191557,31215537
2019-01-07,8.400000,8.400000,8.240000,8.330000,8.201404,23144750
2019-01-08,8.390000,8.400000,8.200000,8.290000,8.162021,25800016
2019-01-09,8.400000,8.570000,8.380000,8.560000,8.427853,42742203
2019-01-10,8.580000,8.580000,8.440000,8.500000,8.368779,36909672
2019-01-11,8.500000,8.500000,8.350000,8.500000,8.368779,22295769
2019-01-14,8.440000,8.480000,8.260000,8.330000,8.201404,20953548
2019-01-15,8.410000,8.750000,8.400000,8.690000,8.555845,39789394
2019-01-16,8.690000,8.770000,8.570000,8.770000,8.634611,25185983
2019-01-17,8.780000,8.790000,8.600000,8.640000,8.506618,23324135
2019-01-18,8.680000,8.780000,8.640000,8.670000,8.536155,22826094
2019-01-21,8.700000,8.700000,8.570000,8.690000,8.555845,12417911
2019-01-22,8.650000,8.750000,8.580000,8.670000,8.536155,21894696
2019-01-23,8.670000,9.130000,8.640000,9.040000,8.900442,61104353
2019-01-24,9.120000,9.120000,8.890000,9.030000,8.890596,37122296
2019-01-25,9.050000,9.130000,8.940000,9.070000,8.929979,32439024
2019-01-28,9.070000,9.100000,8.970000,8.980000,8.841369,32242120
2019-01-29,8.920000,8.980000,8.860000,8.970000,8.831523,47596344
2019-01-30,9.040000,9.040000,8.870000,8.910000,8.772449,24359679
2019-01-31,8.900000,9.070000,8.840000,8.950000,8.811831,41320305
2019-02-01,9.050000,9.050000,8.920000,9.030000,8.890596,18681918
2019-02-04,8.950000,9.120000,8.950000,9.040000,8.900442,10497157
2019-02-08,8.810000,8.970000,8.750000,8.950000,8.811831,30102991
2019-02-11,8.880000,9.090000,8.870000,9.050000,8.910288,26173287
2019-02-12,8.980000,9.080000,8.910000,9.020000,8.880752,25882251
2019-02-13,9.100000,9.450000,9.060000,9.380000,9.235193,57422105
2019-02-14,9.380000,9.420000,9.190000,9.370000,9.225348,42682335
2019-02-15,9.340000,9.350000,9.140000,9.170000,9.028436,16943294
2019-02-18,9.250000,9.380000,9.220000,9.330000,9.185966,26494381
2019-02-19,9.250000,9.250000,9.120000,9.170000,9.028436,23396103
2019-02-20,9.280000,9.590000,9.200000,9.390000,9.245040,51569723
2019-02-21,9.350000,9.520000,9.290000,9.490000,9.343495,36552331
2019-02-22,9.450000,9.500000,9.360000,9.490000,9.343495,19287700
2019-02-25,9.500000,9.590000,9.320000,9.330000,9.185966,29200064
2019-02-26,9.410000,9.420000,9.160000,9.270000,9.126892,36247338
2019-02-27,9.240000,9.780000,9.140000,9.320000,9.176120,157984206
2019-02-28,9.310000,9.450000,9.270000,9.310000,9.166275,58307039
2019-03-01,9.330000,9.760000,9.330000,9.710000,9.560100,82701084
2019-03-04,9.700000,9.980000,9.660000,9.800000,9.648710,62573009
2019-03-05,9.620000,9.850000,9.550000,9.800000,9.648710,36244461
2019-03-06,9.730000,9.790000,9.530000,9.570000,9.422260,45595568
2019-03-07,9.550000,9.690000,9.380000,9.480000,9.333650,39837114
2019-03-08,9.360000,9.380000,9.120000,9.150000,9.008744,59546612
2019-03-11,9.180000,9.410000,9.160000,9.360000,9.215502,42778564
2019-03-12,9.400000,9.780000,9.400000,9.710000,9.560100,70850342
2019-03-13,9.650000,9.820000,9.550000,9.630000,9.481335,31834043
2019-03-14,9.840000,10.200000,9.800000,9.950000,9.796394,111551140
2019-03-15,9.910000,10.020000,9.830000,9.940000,9.786548,53094356
2019-03-18,10.080000,10.320000,9.990000,10.300000,10.140991,62888890
2019-03-19,10.220000,10.580000,10.220000,10.560000,10.396977,61758435
2019-03-20,10.540000,10.660000,10.460000,10.560000,10.396977,42722758
2019-03-21,10.700000,10.700000,10.340000,10.440000,10.278830,39800634
2019-03-22,10.560000,10.560000,10.140000,10.220000,10.062226,39623368
2019-03-25,9.980000,10.300000,9.940000,10.140000,9.983461,25449073
2019-03-26,10.200000,10.320000,10.080000,10.220000,10.062226,27314806
2019-03-27,10.100000,10.400000,10.080000,10.120000,9.963770,24435263
2019-03-28,10.200000,10.380000,10.100000,10.300000,10.140991,27221459
2019-03-29,10.200000,10.300000,9.930000,9.950000,9.796394,54799723
2019-04-01,10.100000,10.180000,9.950000,10.060000,9.904696,33586637
2019-04-02,10.160000,10.160000,10.000000,10.100000,9.944078,17943693
2019-04-03,10.000000,10.140000,9.950000,9.980000,9.825931,26873166
2019-04-04,10.000000,10.300000,10.000000,10.300000,10.140991,48724561
2019-04-08,10.500000,10.500000,9.910000,10.000000,9.845622,44175175
2019-04-09,10.100000,10.220000,10.000000,10.120000,9.963770,29393955
2019-04-10,10.160000,10.160000,10.020000,10.120000,9.963770,30410299
2019-04-11,10.200000,10.200000,9.890000,10.000000,9.845622,29473854
2019-04-12,10.060000,10.060000,9.600000,9.850000,9.697938,46976953
2019-04-15,9.850000,9.900000,9.520000,9.690000,9.540407,41158567
2019-04-16,9.740000,9.900000,9.650000,9.880000,9.727475,29444323
2019-04-17,9.800000,9.880000,9.730000,9.760000,9.609327,30237542
2019-04-18,9.700000,9.760000,9.610000,9.690000,9.540407,26953955
2019-04-23,9.550000,9.680000,9.500000,9.570000,9.422260,37966363
2019-04-24,9.790000,9.790000,9.450000,9.490000,9.343495,34769000
2019-04-25,9.490000,9.520000,9.330000,9.490000,9.343495,28134240
2019-04-26,9.450000,9.510000,9.400000,9.450000,9.304112,21711976
2019-04-29,9.400000,9.440000,9.150000,9.440000,9.294267,20670245
2019-04-30,9.470000,9.470000,9.240000,9.310000,9.166275,25124423
2019-05-02,9.250000,9.280000,9.110000,9.220000,9.077664,38184420
2019-05-03,9.080000,9.330000,9.020000,9.270000,9.126892,19587864
2019-05-06,9.140000,9.180000,8.900000,9.090000,8.949671,25191471
2019-05-07,9.180000,9.190000,9.090000,9.130000,8.989053,23701313
2019-05-08,8.950000,9.120000,8.920000,8.970000,8.831523,21482534
2019-05-09,8.870000,8.960000,8.730000,8.830000,8.693685,34389109
2019-05-10,8.950000,8.960000,8.770000,8.840000,8.703530,18662473
2019-05-14,8.570000,8.680000,8.400000,8.640000,8.506618,45444162
2019-05-15,8.600000,8.800000,8.570000,8.680000,8.546000,27137806
2019-05-16,8.480000,8.600000,8.380000,8.420000,8.420000,20821152
2019-05-17,8.480000,8.540000,8.370000,8.420000,8.420000,22342875
2019-05-20,8.440000,8.610000,8.420000,8.460000,8.460000,24424020
2019-05-21,8.500000,8.560000,8.400000,8.470000,8.470000,24254000
2019-05-22,8.520000,8.600000,8.420000,8.450000,8.450000,7846197
2019-05-23,8.400000,8.420000,8.130000,8.270000,8.270000,29869270
2019-05-24,8.280000,8.390000,8.220000,8.290000,8.290000,11846873
2019-05-27,8.330000,8.330000,8.170000,8.250000,8.250000,7700030
2019-05-28,8.180000,8.270000,8.150000,8.180000,8.180000,43014123
2019-05-29,8.170000,8.330000,8.150000,8.270000,8.270000,25791340
2019-05-30,8.400000,8.430000,8.320000,8.360000,8.360000,24116030
2019-05-31,8.300000,8.400000,8.210000,8.270000,8.270000,15168254
