Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,12.180000,12.180000,11.200000,11.320000,10.670474,67599542
2019-01-03,11.560000,11.700000,11.340000,11.480000,10.821294,61289951
2019-01-04,11.580000,12.080000,11.500000,12.080000,11.386867,70309213
2019-01-07,12.480000,12.480000,12.160000,12.380000,11.669654,76167356
2019-01-08,12.300000,12.480000,12.240000,12.440000,11.726211,55226961
2019-01-09,12.580000,13.060000,12.560000,12.720000,11.990145,107501687
2019-01-10,12.740000,12.840000,12.620000,12.820000,12.084406,55718354
2019-01-11,12.780000,12.860000,12.560000,12.820000,12.084406,64902867
2019-01-14,12.580000,12.680000,12.160000,12.220000,11.518834,57949582
2019-01-15,12.580000,12.720000,12.400000,12.720000,11.990145,47620565
2019-01-16,12.700000,12.820000,12.520000,12.700000,11.971292,37413388
2019-01-17,12.860000,12.860000,12.420000,12.660000,11.933587,42492375
2019-01-18,12.700000,12.940000,12.640000,12.920000,12.178669,43712947
2019-01-21,12.920000,13.180000,12.860000,13.120000,12.367193,41876880
2019-01-22,13.080000,13.120000,12.740000,12.940000,12.197521,39291557
2019-01-23,12.920000,12.920000,12.620000,12.620000,11.895883,54794071
2019-01-24,12.620000,12.860000,12.580000,12.800000,12.065555,46724607
2019-01-25,12.940000,13.100000,12.760000,13.060000,12.310636,52236387
2019-01-28,13.180000,13.180000,12.900000,13.040000,12.291783,37525971
2019-01-29,12.740000,12.860000,12.580000,12.640000,11.914735,89318019
2019-01-30,12.880000,12.880000,12.680000,12.800000,12.065555,52027941
2019-01-31,12.920000,13.160000,12.880000,13.120000,12.367193,67671807
2019-02-01,13.200000,13.280000,13.120000,13.220000,12.461455,45391939
2019-02-04,13.200000,13.260000,13.120000,13.200000,12.442602,24630150
2019-02-08,12.940000,12.980000,12.700000,12.880000,12.140965,59759890
2019-02-11,12.880000,12.920000,12.740000,12.900000,12.159816,48040104
2019-02-12,12.980000,13.100000,12.900000,13.080000,12.329489,49248985
2019-02-13,13.380000,13.460000,13.160000,13.380000,12.612274,48976923
2019-02-14,13.300000,13.480000,13.260000,13.460000,12.687684,41895045
2019-02-15,13.260000,13.460000,13.160000,13.280000,12.518012,34067315
2019-02-18,13.460000,13.880000,13.400000,13.680000,12.895061,52111854
2019-02-19,13.600000,13.820000,13.580000,13.760000,12.970471,33452704
2019-02-20,13.780000,13.980000,13.760000,13.920000,13.121290,50369908
2019-02-21,13.880000,14.140000,13.800000,13.940000,13.140141,46626861
2019-02-22,13.820000,14.040000,13.580000,14.040000,13.234406,46110620
2019-02-25,14.020000,14.060000,13.640000,13.900000,13.102438,72443253
2019-02-26,13.680000,13.760000,13.460000,13.700000,12.913913,84742319
2019-02-27,13.520000,13.860000,13.520000,13.680000,12.895061,42259892
2019-02-28,13.520000,13.680000,13.520000,13.540000,12.763094,50165189
2019-03-01,13.540000,13.780000,13.520000,13.640000,12.857357,36326807
2019-03-04,13.520000,13.880000,13.420000,13.760000,12.970471,78586445
2019-03-05,13.660000,13.660000,13.420000,13.560000,12.781947,37393901
2019-03-06,13.440000,13.500000,13.260000,13.360000,12.593422,47264449
2019-03-07,13.260000,13.460000,13.220000,13.320000,12.555717,39846092
2019-03-08,13.120000,13.300000,13.100000,13.280000,12.518012,99613097
2019-03-11,13.080000,13.240000,13.080000,13.240000,12.480308,43541860
2019-03-12,13.280000,13.440000,13.280000,13.360000,12.593422,29755414
2019-03-13,13.320000,13.480000,13.220000,13.260000,12.499161,38793225
2019-03-14,13.540000,13.880000,13.500000,13.760000,12.970471,57893616
2019-03-15,13.780000,14.180000,13.680000,14.160000,13.347519,80556244
2019-03-18,14.080000,14.080000,13.700000,14.020000,13.215552,60399231
2019-03-19,14.000000,14.100000,13.720000,13.880000,13.083586,61590573
2019-03-20,13.840000,14.000000,13.760000,13.820000,13.027028,30624767
2019-03-21,13.980000,14.180000,13.840000,14.020000,13.215552,46524085
2019-03-22,14.160000,14.280000,13.920000,14.100000,13.290962,44672013
2019-03-25,13.700000,13.740000,13.360000,13.520000,12.744242,51455755
2019-03-26,13.740000,13.880000,13.700000,13.820000,13.027028,45416476
2019-03-27,14.080000,14.360000,14.000000,14.360000,13.536044,63575920
2019-03-28,14.460000,14.460000,14.160000,14.320000,13.498339,45546436
2019-03-29,14.480000,14.700000,14.360000,14.700000,13.856535,60886082
2019-04-01,14.860000,15.140000,14.800000,14.940000,14.082764,51865990
2019-04-02,14.860000,14.980000,14.580000,14.700000,13.856535,56911457
2019-04-03,14.680000,14.720000,14.500000,14.640000,13.799978,61982948
2019-04-04,14.480000,14.560000,14.300000,14.400000,13.573748,45382002
2019-04-08,14.800000,14.900000,14.600000,14.900000,14.045059,66073125
2019-04-09,15.000000,15.120000,14.900000,15.040000,14.177026,50288942
2019-04-10,14.920000,15.000000,14.820000,14.920000,14.063912,39662347
2019-04-11,14.840000,14.960000,14.420000,14.580000,13.743421,70359219
2019-04-12,14.380000,14.720000,14.380000,14.720000,13.875387,45665438
2019-04-15,14.800000,14.940000,14.640000,14.740000,13.894240,41863123
2019-04-16,14.680000,14.960000,14.620000,14.900000,14.045059,39455198
2019-04-17,14.960000,14.960000,14.720000,14.840000,13.988503,42278314
2019-04-18,14.840000,14.900000,14.620000,14.740000,13.894240,37425273
2019-04-23,15.000000,15.060000,14.840000,14.960000,14.101617,61208789
2019-04-24,15.040000,15.040000,14.640000,14.720000,13.875387,49029576
2019-04-25,14.620000,14.680000,14.420000,14.660000,13.818830,57123034
2019-04-26,14.500000,14.540000,14.340000,14.420000,13.592601,55231621
2019-04-29,14.580000,14.680000,14.360000,14.680000,13.837683,37206998
2019-04-30,14.800000,14.800000,14.100000,14.180000,13.366372,53800219
2019-05-02,13.960000,14.100000,13.820000,13.900000,13.102438,80272767
2019-05-03,13.620000,13.880000,13.520000,13.680000,12.895061,55808288
2019-05-06,13.400000,13.720000,13.400000,13.480000,12.706537,81632556
2019-05-07,13.700000,13.960000,13.700000,13.900000,13.102438,67467981
2019-05-08,13.700000,13.840000,13.600000,13.660000,12.876208,45619563
2019-05-09,13.520000,13.700000,13.300000,13.340000,12.574570,53979906
2019-05-10,13.600000,13.660000,13.340000,13.380000,12.612274,61378602
2019-05-14,13.120000,13.400000,13.100000,13.180000,12.423751,58160484
2019-05-15,13.100000,13.600000,13.100000,13.360000,12.593422,58497982
2019-05-16,13.300000,13.640000,13.240000,13.580000,12.800799,52155647
