Date,Open,High,Low,Close,Adj Close,Volume
3/7/2019,54.049999,54.099998,52.5,53.25,53.25,15915181
3/8/2019,52.599998,52.700001,51.599998,51.599998,51.599998,17229909
3/11/2019,51.700001,52.549999,50.799999,51.450001,51.450001,14731411
3/12/2019,52.200001,52.650002,51.900002,52.200001,52.200001,12180867
3/13/2019,52.200001,52.349998,51.25,51.849998,51.849998,8409001
3/14/2019,52,52,51,51.549999,51.549999,6652265
3/15/2019,51.799999,54.150002,51.650002,52.900002,52.900002,17336425
3/18/2019,53.150002,53.900002,52,53.799999,53.799999,10583527
3/19/2019,54.099998,54.099998,53.299999,54,54,6212067
3/20/2019,53.599998,53.900002,53.200001,53.299999,53.299999,6264136
3/21/2019,53.599998,54.5,53.349998,53.900002,53.900002,9081534
3/22/2019,54.450001,55.349998,53.5,53.849998,53.849998,9015153
3/25/2019,52.5,52.700001,51.549999,51.549999,51.549999,8947378
3/26/2019,51.950001,52.400002,51.5,51.799999,51.799999,6165374
3/27/2019,51.700001,52.849998,51.700001,52.5,52.5,5976892
3/28/2019,52.299999,52.950001,51.950001,52.150002,52.150002,5691923
3/29/2019,52.200001,53.900002,52.049999,53.450001,53.450001,12567886
4/1/2019,54,56.849998,53.599998,56.650002,56.650002,29306111
4/2/2019,57.200001,59.450001,56.700001,58.950001,58.950001,31781810
4/3/2019,59.099998,61.150002,58.900002,60.75,60.75,21138694
4/4/2019,60.5,62.099998,60.049999,61.299999,61.299999,14839726
4/8/2019,null,null,null,null,null,null
4/9/2019,59.799999,60.849998,59.099998,59.700001,59.700001,10514553
4/10/2019,59.799999,60.75,58.700001,60.400002,60.400002,11417119
4/11/2019,60.700001,60.700001,58,58.049999,58.049999,17277755
4/12/2019,null,null,null,null,null,null
4/15/2019,null,null,null,null,null,null
4/16/2019,null,null,null,null,null,null
4/17/2019,null,null,null,null,null,null
4/18/2019,null,null,null,null,null,null
4/23/2019,null,null,null,null,null,null
4/24/2019,null,null,null,null,null,null
4/25/2019,null,null,null,null,null,null
4/26/2019,null,null,null,null,null,null
4/29/2019,null,null,null,null,null,null
4/30/2019,null,null,null,null,null,null
5/2/2019,null,null,null,null,null,null
5/3/2019,59.5,59.950001,58.599998,59.950001,59.950001,7773407
5/6/2019,58,58,56.549999,57.299999,57.299999,25738992
5/7/2019,57.049999,57.900002,56.25,57.049999,57.049999,13307358
5/8/2019,55.799999,56.5,55.450001,55.75,55.75,14682107
5/9/2019,55.549999,55.650002,52.900002,53.450001,53.450001,32594183
5/10/2019,54.400002,55.200001,53.349998,54.349998,54.349998,12707409
5/14/2019,52.700001,52.75,50.900002,51.5,51.5,25512036
5/15/2019,51.799999,52.200001,51.5,51.950001,51.950001,13376331
5/16/2019,51.099998,51.75,50.799999,51.049999,51.049999,14037238
5/17/2019,50.950001,51.150002,49.299999,49.849998,49.849998,16615903
5/20/2019,50,50,47.650002,47.950001,47.950001,20324753
5/21/2019,47.400002,48.450001,46.950001,47.799999,47.799999,25777894
5/22/2019,48.25,49.299999,47.849998,48.25,48.25,13007963
5/23/2019,47.75,47.849998,46.700001,46.849998,46.849998,14310050
5/24/2019,47.200001,47.650002,46.549999,47,47,8156766
