Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,176.500000,176.500000,172.300003,173.000000,165.828186,1509053
2019-01-03,172.500000,173.100006,168.100006,168.100006,161.131317,3376965
2019-01-04,168.399994,168.399994,166.000000,167.800003,160.843750,3691241
2019-01-07,169.000000,170.899994,168.300003,168.699997,161.706421,2263921
2019-01-08,170.000000,172.100006,169.199997,170.600006,163.527679,2415494
2019-01-09,172.800003,176.000000,172.000000,174.600006,167.361862,3005290
2019-01-10,173.000000,174.500000,171.600006,173.600006,166.403320,1532702
2019-01-11,173.500000,175.399994,172.500000,175.000000,167.745270,1129590
2019-01-14,174.199997,175.199997,172.300003,172.699997,165.540619,1526643
2019-01-15,175.000000,175.100006,173.899994,175.000000,167.745270,2047135
2019-01-16,173.399994,176.000000,173.399994,175.500000,168.224548,1159732
2019-01-17,174.300003,176.800003,173.899994,175.100006,167.841125,1295907
2019-01-18,176.800003,176.800003,174.300003,174.300003,167.074295,1668937
2019-01-21,174.000000,175.899994,173.800003,174.800003,167.553574,1296030
2019-01-22,175.000000,176.600006,175.000000,176.600006,169.278946,964707
2019-01-23,175.600006,178.000000,175.600006,177.000000,169.662369,1652933
2019-01-24,178.000000,178.000000,175.699997,177.800003,170.429184,1138443
2019-01-25,177.199997,180.000000,177.000000,179.600006,172.154572,1450704
2019-01-28,179.600006,180.800003,177.600006,178.600006,171.196030,1157040
2019-01-29,179.000000,179.000000,177.100006,178.600006,171.196030,1308243
2019-01-30,180.000000,180.000000,178.000000,179.500000,172.058716,981911
2019-01-31,179.500000,179.899994,178.500000,179.600006,172.154572,2044860
2019-02-01,179.800003,179.800003,178.199997,179.000000,171.579453,1357522
2019-02-04,177.800003,180.000000,177.800003,178.600006,171.196030,608843
2019-02-08,178.000000,179.899994,177.199997,179.300003,171.867020,1124003
2019-02-11,179.300003,180.600006,179.300003,180.600006,173.113129,1100038
2019-02-12,179.800003,181.600006,179.800003,181.600006,174.071671,1703896
2019-02-13,182.199997,185.500000,181.399994,185.100006,177.426575,2200070
2019-02-14,184.899994,185.899994,184.100006,185.500000,177.809982,1588577
2019-02-15,185.100006,185.300003,182.000000,182.699997,175.126068,1444031
2019-02-18,184.500000,185.600006,183.199997,185.600006,177.905853,1642636
2019-02-19,186.500000,186.500000,183.699997,186.199997,178.480957,2177813
2019-02-20,187.800003,189.199997,187.500000,188.399994,180.589767,2360407
2019-02-21,188.000000,189.899994,186.199997,189.800003,181.931732,2102106
2019-02-22,189.899994,191.800003,189.300003,191.199997,183.273682,1765964
2019-02-25,191.300003,192.399994,190.800003,191.300003,183.369537,2045722
2019-02-26,192.100006,192.399994,191.000000,192.399994,184.423935,1401572
2019-02-27,192.800003,195.500000,192.399994,194.800003,186.724442,2362067
2019-02-28,194.899994,195.899994,193.300003,194.500000,186.436905,2179075
2019-03-01,194.699997,195.000000,193.500000,194.899994,186.820313,1256388
2019-03-04,191.300003,192.399994,190.199997,192.000000,187.503922,2227942
2019-03-05,190.699997,191.800003,189.199997,190.199997,185.746048,1404600
2019-03-06,191.699997,191.699997,189.199997,191.000000,186.527328,1383967
2019-03-07,190.800003,191.300003,189.600006,190.000000,185.550751,1289388
2019-03-08,188.199997,189.600006,188.000000,188.500000,184.085861,1489064
2019-03-11,188.000000,188.800003,186.500000,188.800003,184.378845,1032129
2019-03-12,188.800003,189.500000,187.899994,189.399994,184.964798,1089368
2019-03-13,189.100006,189.800003,187.800003,188.600006,184.183533,1683052
2019-03-14,188.600006,190.699997,188.000000,190.399994,185.941376,1528741
2019-03-15,191.000000,191.000000,189.100006,190.500000,186.039032,1945651
2019-03-18,191.000000,192.000000,190.500000,191.800003,187.308594,941156
2019-03-19,192.800003,193.000000,191.000000,192.000000,187.503922,833510
2019-03-20,192.000000,192.000000,189.899994,190.399994,185.941376,1332990
2019-03-21,192.000000,192.000000,190.399994,191.100006,186.624985,1143076
2019-03-22,192.000000,192.000000,188.699997,191.600006,187.113297,1118852
2019-03-25,190.000000,190.000000,188.699997,189.600006,185.160126,1268690
2019-03-26,190.000000,191.600006,189.500000,191.399994,186.917953,1006604
2019-03-27,190.199997,191.699997,190.199997,190.699997,186.234360,869557
2019-03-28,189.500000,191.699997,189.500000,191.699997,187.210938,1092126
2019-03-29,191.100006,193.699997,191.000000,193.699997,189.164093,1481036
2019-04-01,194.000000,195.699997,194.000000,195.699997,191.117279,1643102
2019-04-02,194.500000,197.000000,194.500000,196.600006,191.996201,1695839
2019-04-03,196.000000,196.800003,194.500000,196.699997,192.093842,1046982
2019-04-04,197.000000,198.500000,195.600006,198.399994,193.754044,1431011
2019-04-08,199.000000,199.699997,195.399994,195.699997,191.117279,4011630
2019-04-09,197.300003,197.899994,196.300003,197.800003,193.168091,1150399
2019-04-10,197.800003,198.500000,197.000000,198.000000,193.363403,1279208
2019-04-11,198.100006,198.600006,196.500000,198.100006,193.461075,1480681
2019-04-12,198.899994,199.000000,197.399994,198.800003,194.144669,912659
2019-04-15,199.500000,201.199997,199.100006,200.600006,195.902527,2700772
2019-04-16,199.000000,205.000000,198.899994,204.199997,199.418213,2151199
2019-04-17,204.199997,204.399994,202.199997,202.800003,198.051010,1460778
2019-04-18,201.399994,204.600006,201.399994,204.600006,199.808868,1288886
2019-04-23,201.800003,206.600006,201.800003,206.399994,201.566696,1112385
2019-04-24,207.000000,207.000000,204.800003,205.600006,200.785446,2735455
2019-04-25,206.000000,206.399994,204.000000,204.199997,199.418213,1076657
2019-04-26,203.000000,208.000000,203.000000,205.800003,200.980759,1363921
2019-04-29,207.800003,207.800003,204.800003,205.199997,200.394791,636293
2019-04-30,204.800003,206.600006,204.199997,206.000000,201.176086,1234886
2019-05-02,204.600006,206.399994,204.199997,204.399994,199.613525,898667
2019-05-03,205.600006,212.600006,204.800003,212.600006,207.621536,3287266
2019-05-06,207.000000,210.000000,204.000000,206.000000,201.176086,2254589
2019-05-07,208.000000,209.600006,205.800003,206.000000,201.176086,1582118
2019-05-08,204.000000,207.600006,203.000000,206.600006,201.762039,1346090
2019-05-09,204.199997,205.600006,202.000000,202.000000,197.269745,1571998
2019-05-10,204.600006,206.800003,202.199997,203.000000,198.246323,1266939
2019-05-14,202.000000,204.000000,199.399994,204.000000,199.222916,1898402
2019-05-15,202.399994,205.600006,202.399994,204.399994,199.613525,1071049
2019-05-16,202.000000,206.000000,202.000000,205.399994,200.590118,711021
2019-05-17,206.199997,206.199997,200.399994,200.399994,197.050293,1215911
2019-05-20,202.199997,203.800003,200.600006,202.399994,199.016861,798752
2019-05-21,201.600006,204.000000,200.199997,201.800003,198.426895,1163019
2019-05-22,203.000000,203.800003,200.600006,201.800003,198.426895,758284
2019-05-23,201.800003,202.600006,200.000000,200.800003,197.443619,1246458
2019-05-24,202.399994,202.399994,200.399994,202.199997,198.820206,556348
2019-05-27,200.800003,202.199997,200.399994,200.600006,197.246964,592677
2019-05-28,200.800003,201.199997,198.899994,200.199997,196.853638,2383306
2019-05-29,199.000000,200.199997,198.800003,199.699997,196.362000,1073867
2019-05-30,200.000000,200.199997,198.500000,199.199997,195.870346,1481207
2019-05-31,198.000000,199.300003,195.300003,196.500000,193.215485,1912314
2019-06-03,195.000000,196.000000,193.100006,195.399994,192.133865,1318541
2019-06-04,197.000000,197.000000,193.300003,195.100006,191.838898,1199921
2019-06-05,196.300003,196.600006,193.100006,193.899994,190.658951,1145189
2019-06-06,193.000000,196.000000,193.000000,195.100006,191.838898,1433992
2019-06-10,195.100006,199.800003,194.800003,198.699997,195.378708,1428445
2019-06-11,201.000000,202.800003,198.899994,201.399994,198.033569,966457
2019-06-12,199.000000,199.199997,196.399994,197.399994,194.100433,1380258
2019-06-13,196.000000,197.300003,193.199997,196.000000,192.723846,1696927
2019-06-14,194.199997,195.000000,192.199997,194.199997,190.953918,2228112
2019-06-17,194.399994,197.800003,194.100006,194.500000,191.248917,1025961
2019-06-18,194.699997,195.500000,193.500000,194.899994,191.642227,958346
2019-06-19,198.500000,199.899994,197.100006,199.899994,196.558655,1295251
2019-06-20,201.000000,202.000000,199.399994,200.600006,197.246964,1027197
2019-06-21,201.000000,201.000000,195.100006,196.000000,192.723846,2921233
2019-06-24,197.000000,197.000000,194.500000,195.399994,192.133865,1050220
2019-06-25,194.899994,195.899994,193.000000,193.000000,189.773987,1694634
2019-06-26,193.300003,194.500000,193.000000,193.600006,190.363968,1252228
2019-06-27,194.000000,197.199997,194.000000,197.199997,193.903778,1205281
2019-06-28,197.500000,197.500000,194.300003,194.500000,191.248917,1316205
2019-07-02,195.600006,196.199997,194.699997,195.699997,192.428864,1571511
2019-07-03,195.000000,196.100006,194.600006,195.000000,191.740555,964270
2019-07-04,195.500000,196.000000,194.899994,194.899994,191.642227,786593
2019-07-05,195.000000,196.699997,195.000000,195.000000,191.740555,444717
2019-07-08,194.399994,195.899994,192.800003,193.600006,190.363968,1166466
2019-07-09,193.000000,194.800003,193.000000,193.600006,190.363968,728157
2019-07-10,195.000000,195.000000,193.199997,194.300003,191.052261,716411
2019-07-11,194.800003,195.399994,194.000000,194.699997,191.445572,773617
2019-07-12,194.000000,195.800003,194.000000,195.100006,191.838898,755407
2019-07-15,195.100006,195.699997,193.399994,194.699997,191.445572,886273
2019-07-16,195.000000,195.500000,194.000000,195.100006,191.838898,647761
2019-07-17,194.000000,195.600006,193.399994,195.600006,192.330536,583752
2019-07-18,194.000000,195.300003,193.699997,195.300003,192.035553,529163
2019-07-19,195.600006,197.399994,195.500000,196.699997,193.412140,1042032
2019-07-22,196.100006,196.600006,193.500000,194.100006,190.855606,817192
2019-07-23,195.000000,195.500000,194.100006,194.500000,191.248917,574017
2019-07-24,195.500000,196.399994,194.500000,195.000000,191.740555,805871
2019-07-25,195.800003,196.899994,194.800003,195.800003,192.527191,643587
