Date,CKH HOLDINGS,CLP HOLDINGS,HK & CHINA GAS,HSBC HOLDINGS,POWER ASSETS,HANG SENG BANK,HENDERSON LAND,SHK PPT,NEW WORLD DEV,SWIRE PACIFIC,GALAXY ENT,MTR CORPORATION,SINO LAND,HANG LUNG PPT,WANT WANT CHINA,GEELY AUTO,CITIC,WH GROUP,SINOPEC CORP,HKEX,TECHTRONIC IND,CHINA OVERSEAS,TENCENT,CHINA UNICOM,LINK REIT,PETROCHINA,CNOOC,CCB,CHINA MOBILE,CKI HOLDINGS,HENGAN INT'L,CHINA SHENHUA,CSPC PHARMA,CHINA RES LAND,CK ASSET,SINO BIOPHARM,AIA,ICBC,SANDS CHINA LTD,WHARF REIC,COUNTRY GARDEN,AAC TECH,SHENZHOU INTL,PING AN,MENGNIU DAIRY,SUNNY OPTICAL,BOC HONG KONG,CHINA LIFE,BANKCOMM,BANK OF CHINA
1/2/2019,71.297447,84.200912,14.493511,59.36425,50.817883,165.828186,32.346287,104.444435,9.684363,77.025993,,39.507748,12.604501,13.984801,5.045588,12.618871,11.349611,5.629092,5.0005,216.190414,40.350834,24.513947,305.761383,7.945417,75.726242,4.470805,10.670474,5.944877,70.342972,55.990971,54.584393,15.693611,10.534584,27.180344,53.674923,4.936913,61.731552,5.170985,30.225882,44.029251,8.462642,41.882797,85.25174,65.912926,23.68623,65.200813,27.112207,16.034296,5.648391,3.124485
1/3/2019,70.291229,84.200912,14.422228,59.31736,51.055347,161.131317,32.726837,107.516327,9.722566,76.68837,,39.897949,13.160018,13.946434,5.324828,11.588363,11.637186,5.531871,5.092421,215.411346,40.252659,25.093018,304.165741,7.955263,75.677826,4.596335,10.821294,5.96384,71.013817,55.510777,54.584393,15.655976,9.923026,27.901947,53.916702,4.599176,60.652843,5.180509,30.225882,43.933327,8.131701,39.614944,84.36779,65.376259,23.140005,60.794685,26.635717,15.856137,5.686299,3.133897
1/4/2019,72.112,85.793259,14.511356,60.348961,52.100204,160.84375,34.375931,112.70015,10.200098,78.907028,,40.190601,13.677224,14.46439,5.488521,11.549476,11.848073,5.687425,5.184342,221.05957,40.64537,25.575575,309.750427,8.191557,78.389252,4.71221,11.386867,6.077617,73.601372,57.143448,54.871677,16.088774,10.929137,28.623547,56.914761,4.98658,62.221874,5.256692,30.870947,44.077209,8.566652,39.325432,86.135681,65.522621,23.288977,60.8937,26.778666,16.23225,5.733685,3.171541
1/7/2019,72.639069,85.744995,14.600482,60.864773,52.100204,161.706421,34.841045,113.468117,10.352909,79.485802,,40.48325,13.715535,14.713776,5.632955,11.199492,11.809731,5.872145,5.276263,224.95488,41.234432,25.816854,316.731293,8.201404,78.72818,4.741178,11.669654,6.087099,74.703468,57.575623,54.53651,16.502754,11.126414,28.671654,58.510506,4.976647,62.074776,5.275738,31.055254,45.084415,8.699029,39.27718,84.564224,65.717773,22.79241,62.2799,26.826313,16.489592,5.790548,3.180952
1/8/2019,74.124428,86.758308,14.653919,60.724094,52.242683,163.527679,35.179268,114.71608,10.677631,80.257507,,40.678352,13.773004,14.771326,5.671472,9.935659,11.771386,6.076309,5.285455,223.201996,41.676231,25.865108,314.736755,8.162021,77.856651,4.779802,11.726211,6.087099,75.182648,57.623642,54.584393,16.59684,11.16587,28.334908,60.444733,5.016381,62.761227,5.256692,31.147404,45.228306,8.519376,40.676495,87.903572,64.937164,23.040693,61.240246,27.016909,16.41041,5.828457,3.180952
1/9/2019,74.268173,87.289078,14.832273,61.427464,52.765106,167.361862,35.517502,115.196068,10.734935,82.958488,,40.775898,14.117806,14.924796,5.806278,10.771732,11.963102,6.309639,5.52445,229.629288,43.492504,26.058132,326.703949,8.427853,77.372467,4.857052,11.990145,6.229321,76.476425,58.103844,54.584393,16.935551,11.205325,29.633789,61.50856,5.04618,64.624451,5.418583,32.57576,46.187546,8.642296,43.282101,90.50631,66.449593,24.033827,62.923489,27.826941,17.004272,5.913751,3.218596
1/10/2019,73.88485,87.482101,14.778736,60.770988,51.672764,166.40332,35.559822,115.964035,10.754036,84.260742,,40.775898,13.983717,14.924796,5.998857,10.693958,11.982275,6.329083,5.597987,227.876373,43.590687,25.720343,328.100098,8.368779,76.791451,4.857052,12.084406,6.229321,76.428505,58.488003,54.249229,16.916733,12.053617,29.48947,61.07336,5.632253,65.507034,5.418583,32.760067,46.043659,8.699029,42.461819,91.488472,67.425354,24.58005,66.28997,27.779289,17.202225,5.866366,3.218596
1/11/2019,74.603577,87.819862,14.850019,61.333683,51.910229,167.74527,35.855728,117.115997,10.868644,84.308975,,40.970997,13.907094,15.039896,5.912196,10.791177,11.886416,6.367972,5.643947,228.850204,45.161522,26.492437,330.294098,8.368779,77.227219,4.88602,12.084406,6.238802,76.668098,58.776115,54.680153,17.462435,11.895795,30.066751,61.992119,5.413717,65.99736,5.437629,32.852219,46.523281,8.850316,44.584911,90.260765,67.864456,24.629705,68.072227,27.874588,17.241817,5.970615,3.218596
1/14/2019,73.261955,87.771614,14.814427,60.536537,51.387802,165.540619,35.855728,115.772041,10.792238,84.164276,,40.824673,13.638912,14.809693,5.825535,10.460636,11.675529,6.299917,5.552026,227.097305,43.787037,26.540691,320.919769,8.201404,77.372467,4.731522,11.518834,6.153469,76.716011,58.055824,54.392868,17.236628,11.520968,29.730005,60.251308,5.324317,65.801216,5.361445,31.9307,46.81105,8.585564,44.054138,88.100006,67.278992,24.58005,66.98307,27.588697,16.70734,6.008523,3.180952
1/15/2019,74.9869,88.350639,14.939244,61.05233,51.530285,167.74527,36.363159,118.747932,10.983252,85.080681,,41.117325,13.849627,14.982346,6.037373,10.946725,11.771386,6.533247,5.616371,230.797867,44.130661,26.974995,329.097351,8.555845,77.856651,4.83774,11.990145,6.257765,78.201447,58.536022,54.392868,17.594156,11.757701,30.355392,61.266781,5.423651,68.252831,5.428106,32.944366,46.859013,8.935415,46.321983,89.671471,68.596283,25.225586,68.814835,28.208132,17.419977,6.103295,3.228008
1/16/2019,75.274391,88.109383,14.903554,61.099224,51.720257,168.224548,36.44772,118.555946,11.097859,86.431175,,41.21487,13.792158,15.097446,5.998857,11.199492,11.694699,6.620746,5.689908,232.356003,45.161522,27.071505,330.094635,8.634611,77.517723,4.83774,11.971292,6.229321,78.009781,58.872158,55.925064,17.500071,12.388987,29.778112,60.734867,5.811054,68.350899,5.437629,33.174751,46.571239,9.247446,44.729664,88.394653,69.230522,25.3249,67.32962,28.208132,18.251385,6.093818,3.237419
1/17/2019,74.9869,87.626854,14.885709,61.099224,51.387802,167.841125,36.067169,116.636017,10.868644,86.527634,,41.166096,13.389887,14.84806,5.979599,11.277266,11.311268,6.484637,5.662331,231.966461,44.228836,26.2029,330.294098,8.506618,76.985123,4.818427,11.933587,6.219839,77.291016,58.824135,55.589893,17.311897,12.44817,29.297045,60.493088,5.979923,67.32122,5.40906,32.852219,46.667168,8.925961,44.10239,88.394653,69.425682,25.02696,65.893913,27.922235,18.231588,6.008523,3.24683
1/18/2019,75.897278,87.38559,14.885709,61.286789,51.577774,167.074295,36.490044,119.035934,11.174264,87.492264,,41.263645,13.619757,15.174181,5.902567,11.918903,11.387954,6.494359,5.662331,233.135071,45.603317,26.830225,336.078217,8.536155,76.839867,4.876364,12.178669,6.28621,77.482689,58.920177,55.73354,17.556522,12.921635,29.970539,61.363495,6.416994,68.547028,5.485244,33.589436,47.866219,9.181258,46.514992,90.899178,70.108711,25.275244,70.943634,28.112833,18.904633,6.055909,3.265652
1/21/2019,76.184769,87.047813,14.956992,61.286789,51.530285,167.553574,36.701488,119.227921,11.097859,86.045311,,41.409973,13.504822,15.289282,5.806278,12.385548,11.426297,6.669357,5.74506,236.640854,45.89785,26.395924,339.070007,8.555845,76.210426,4.953614,12.367193,6.343098,77.578522,58.872158,55.542011,18.32803,12.941361,29.393257,61.121716,6.188525,67.272186,5.561429,33.727661,48.633617,9.294723,46.321983,91.046494,70.840538,25.225586,74.854691,28.636971,18.884838,6.103295,3.303296
1/22/2019,74.93898,87.723366,14.974836,61.05233,51.10284,169.278946,36.15173,118.747932,11.078758,85.948853,,41.31242,13.504822,15.2701,5.796649,12.055007,11.349611,6.513803,5.680715,234.693192,45.799671,26.106388,334.8815,8.536155,77.566147,4.789459,12.197521,6.305172,77.00351,59.544434,53.961937,17.801146,12.467897,28.815977,61.266781,5.989856,67.468323,5.523336,33.174751,49.401009,9.096159,43.95763,89.769684,70.499023,24.977303,72.379341,28.636971,18.6077,6.084341,3.275063
