Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.570000,5.590000,5.390000,5.430000,5.170985,215425385
2019-01-03,5.420000,5.460000,5.390000,5.440000,5.180509,154966670
2019-01-04,5.410000,5.530000,5.400000,5.520000,5.256692,165948892
2019-01-07,5.610000,5.620000,5.500000,5.540000,5.275738,154910388
2019-01-08,5.530000,5.560000,5.500000,5.520000,5.256692,184712391
2019-01-09,5.600000,5.730000,5.580000,5.690000,5.418583,291861580
2019-01-10,5.630000,5.710000,5.610000,5.690000,5.418583,181423246
2019-01-11,5.730000,5.730000,5.670000,5.710000,5.437629,179539948
2019-01-14,5.680000,5.710000,5.580000,5.630000,5.361445,170797188
2019-01-15,5.670000,5.710000,5.650000,5.700000,5.428106,203331658
2019-01-16,5.690000,5.720000,5.640000,5.710000,5.437629,164493733
2019-01-17,5.680000,5.720000,5.640000,5.680000,5.409060,313706760
2019-01-18,5.700000,5.780000,5.700000,5.760000,5.485244,185095822
2019-01-21,5.750000,5.840000,5.750000,5.840000,5.561429,187399289
2019-01-22,5.840000,5.850000,5.770000,5.800000,5.523336,225010538
2019-01-23,5.820000,5.850000,5.800000,5.820000,5.542382,189689490
2019-01-24,5.850000,5.850000,5.790000,5.840000,5.561429,184079065
2019-01-25,5.900000,5.990000,5.870000,5.970000,5.685227,368635455
2019-01-28,5.990000,6.030000,5.930000,5.950000,5.666181,189215573
2019-01-29,5.950000,5.980000,5.890000,5.950000,5.666181,225964956
2019-01-30,5.920000,5.980000,5.870000,5.980000,5.694750,232221958
2019-01-31,6.000000,6.080000,5.980000,6.060000,5.770934,263517641
2019-02-01,6.090000,6.100000,5.990000,6.020000,5.732842,175642569
2019-02-04,5.970000,6.000000,5.920000,5.970000,5.685227,116734890
2019-02-08,5.870000,5.960000,5.820000,5.940000,5.656658,189159727
2019-02-11,5.940000,5.980000,5.900000,5.940000,5.656658,183386161
2019-02-12,5.950000,5.960000,5.890000,5.940000,5.656658,170161169
2019-02-13,5.910000,6.030000,5.870000,5.980000,5.694750,250447504
2019-02-14,6.000000,6.000000,5.930000,5.960000,5.675704,160389057
2019-02-15,5.920000,5.960000,5.800000,5.820000,5.542382,205967479
2019-02-18,5.900000,5.970000,5.870000,5.910000,5.628089,184815826
2019-02-19,5.940000,5.950000,5.870000,5.890000,5.609043,188805838
2019-02-20,5.950000,6.000000,5.880000,5.930000,5.647135,204525604
2019-02-21,5.970000,5.970000,5.910000,5.960000,5.675704,237506237
2019-02-22,5.890000,5.970000,5.880000,5.970000,5.685227,202068452
2019-02-25,6.000000,6.180000,5.980000,6.160000,5.866164,524335409
2019-02-26,6.170000,6.190000,6.030000,6.060000,5.770934,412589361
2019-02-27,6.130000,6.140000,6.020000,6.050000,5.761411,299387944
2019-02-28,6.020000,6.080000,5.990000,6.040000,5.751888,248540962
2019-03-01,6.050000,6.050000,5.980000,6.030000,5.742365,254689087
2019-03-04,5.980000,6.130000,5.980000,6.050000,5.761411,313772664
2019-03-05,6.020000,6.120000,5.980000,6.060000,5.770934,293804712
2019-03-06,6.030000,6.100000,6.010000,6.080000,5.789980,221933582
2019-03-07,6.050000,6.110000,6.040000,6.070000,5.780457,159923870
2019-03-08,6.000000,6.010000,5.880000,5.880000,5.599520,451712402
2019-03-11,5.940000,5.940000,5.850000,5.910000,5.628089,191784275
2019-03-12,5.930000,6.070000,5.910000,6.010000,5.723320,278797803
2019-03-13,6.000000,6.010000,5.950000,5.970000,5.685227,105050730
2019-03-14,5.980000,5.990000,5.900000,5.970000,5.685227,132063742
2019-03-15,5.990000,6.060000,5.960000,5.970000,5.685227,220203602
2019-03-18,5.980000,6.050000,5.970000,6.030000,5.742365,153774489
2019-03-19,6.040000,6.070000,6.010000,6.040000,5.751888,164927090
2019-03-20,6.000000,6.050000,6.000000,6.000000,5.713796,150483803
2019-03-21,6.040000,6.050000,5.970000,5.970000,5.685227,137687622
2019-03-22,6.030000,6.030000,5.910000,5.960000,5.675704,201534965
2019-03-25,5.880000,5.890000,5.800000,5.820000,5.542382,282272568
2019-03-26,5.850000,5.860000,5.770000,5.800000,5.523336,235664053
2019-03-27,5.800000,5.850000,5.790000,5.810000,5.532859,217054988
2019-03-28,5.780000,5.800000,5.740000,5.800000,5.523336,240565868
2019-03-29,5.800000,5.840000,5.740000,5.750000,5.475721,418511989
2019-04-01,5.830000,5.940000,5.810000,5.910000,5.628089,300156472
2019-04-02,5.980000,5.990000,5.890000,5.900000,5.618567,167164238
2019-04-03,5.950000,5.960000,5.890000,5.940000,5.656658,198902761
2019-04-04,5.940000,5.980000,5.910000,5.940000,5.656658,205033926
2019-04-08,5.940000,6.000000,5.940000,5.960000,5.675704,270687809
2019-04-09,5.950000,5.950000,5.900000,5.910000,5.628089,322623862
2019-04-10,5.870000,5.890000,5.840000,5.860000,5.580474,350605791
2019-04-11,5.830000,5.860000,5.800000,5.830000,5.551905,233231762
2019-04-12,5.800000,5.870000,5.790000,5.870000,5.589997,171132614
2019-04-15,5.890000,5.970000,5.840000,5.850000,5.570951,222904663
2019-04-16,5.830000,6.040000,5.820000,6.030000,5.742365,366978667
2019-04-17,6.040000,6.080000,6.010000,6.060000,5.770934,243861384
2019-04-18,6.030000,6.060000,5.970000,6.000000,5.713796,144133445
2019-04-23,5.940000,5.970000,5.900000,5.950000,5.666181,179525508
2019-04-24,5.940000,5.960000,5.870000,5.900000,5.618567,174680657
