Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,4.800000,4.830000,4.590000,4.630000,4.470805,183543299
2019-01-03,4.650000,4.790000,4.640000,4.760000,4.596335,112858451
2019-01-04,4.730000,4.920000,4.730000,4.880000,4.712210,109483505
2019-01-07,4.930000,4.940000,4.840000,4.910000,4.741178,87491197
2019-01-08,4.920000,4.980000,4.850000,4.950000,4.779802,80239063
2019-01-09,5.050000,5.100000,5.010000,5.030000,4.857052,132605958
2019-01-10,5.040000,5.100000,5.020000,5.030000,4.857052,92855124
2019-01-11,5.050000,5.060000,4.940000,5.060000,4.886020,91682785
2019-01-14,4.980000,5.000000,4.860000,4.900000,4.731522,97700124
2019-01-15,4.950000,5.060000,4.930000,5.010000,4.837740,80706089
2019-01-16,5.010000,5.050000,4.970000,5.010000,4.837740,65287383
2019-01-17,5.010000,5.010000,4.920000,4.990000,4.818427,69177584
2019-01-18,5.040000,5.080000,5.000000,5.050000,4.876364,74913333
2019-01-21,5.050000,5.170000,5.040000,5.130000,4.953614,131964201
2019-01-22,5.160000,5.190000,4.940000,4.960000,4.789459,156811981
2019-01-23,4.950000,4.990000,4.880000,4.900000,4.731522,106465057
2019-01-24,4.910000,4.980000,4.890000,4.950000,4.779802,62627959
2019-01-25,4.980000,5.060000,4.970000,5.040000,4.866708,67463483
2019-01-28,5.010000,5.070000,4.960000,4.990000,4.818427,70723974
2019-01-29,4.940000,5.000000,4.910000,4.980000,4.808771,68872055
2019-01-30,5.010000,5.010000,4.930000,4.980000,4.808771,88137789
2019-01-31,5.000000,5.080000,4.980000,5.060000,4.886020,116816463
2019-02-01,5.080000,5.100000,5.040000,5.070000,4.895677,68296916
2019-02-04,5.070000,5.100000,5.020000,5.050000,4.876364,37259089
2019-02-08,4.940000,4.980000,4.910000,4.960000,4.789459,101813082
2019-02-11,4.920000,4.960000,4.910000,4.930000,4.760490,69401204
2019-02-12,4.880000,4.940000,4.880000,4.920000,4.750834,98464939
2019-02-13,4.920000,5.050000,4.920000,5.030000,4.857052,151496209
