Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,34.549999,34.549999,32.599998,32.799999,30.225882,12538397
2019-01-03,33.250000,33.549999,32.599998,32.799999,30.225882,7845100
2019-01-04,32.299999,33.549999,32.250000,33.500000,30.870947,10509861
2019-01-07,34.200001,34.299999,33.400002,33.700001,31.055254,16095954
2019-01-08,34.049999,34.049999,33.450001,33.799999,31.147404,4656727
2019-01-09,34.700001,36.150002,34.200001,35.349998,32.575760,21345532
2019-01-10,36.000000,36.000000,34.950001,35.549999,32.760067,11499429
2019-01-11,35.950001,35.950001,35.000000,35.650002,32.852219,10385230
2019-01-14,35.900002,35.900002,34.299999,34.650002,31.930700,14000789
2019-01-15,35.150002,35.849998,34.799999,35.750000,32.944366,14179659
2019-01-16,36.049999,36.400002,35.400002,36.000000,33.174751,10519028
2019-01-17,36.349998,36.400002,35.500000,35.650002,32.852219,9473274
2019-01-18,36.200001,36.799999,35.700001,36.450001,33.589436,10141683
2019-01-21,36.349998,37.200001,36.349998,36.599998,33.727661,11818743
2019-01-22,36.299999,36.650002,35.599998,36.000000,33.174751,8328412
2019-01-23,35.700001,36.000000,35.349998,35.650002,32.852219,15027099
2019-01-24,34.599998,35.750000,34.599998,35.549999,32.760067,18456895
2019-01-25,35.549999,36.700001,35.400002,36.500000,33.635509,14750195
2019-01-28,36.700001,37.099998,36.299999,36.700001,33.819817,11081344
2019-01-29,36.900002,37.200001,36.500000,37.099998,34.188423,8976546
2019-01-30,37.299999,37.299999,36.650002,37.000000,34.096268,10994412
2019-01-31,36.299999,37.450001,36.200001,37.299999,35.317715,16654900
2019-02-01,37.299999,37.500000,36.450001,37.150002,35.175690,22458266
2019-02-04,37.349998,37.799999,36.799999,37.299999,35.317715,10338682
2019-02-08,36.750000,38.549999,36.500000,38.299999,36.264568,22478643
2019-02-11,38.200001,39.299999,37.900002,38.599998,36.548622,19207278
2019-02-12,38.549999,38.750000,37.950001,38.000000,35.980515,10428516
2019-02-13,37.700001,38.049999,37.200001,37.799999,35.791142,15589031
2019-02-14,37.349998,37.799999,36.950001,37.400002,35.412403,13632635
2019-02-15,36.650002,37.000000,35.500000,36.000000,34.086800,19317966
2019-02-18,36.799999,37.349998,36.500000,37.099998,35.128342,14355595
2019-02-19,37.299999,37.549999,36.500000,37.349998,35.365055,7134125
2019-02-20,37.650002,38.549999,37.400002,37.549999,35.554428,17194075
2019-02-21,37.900002,39.750000,37.500000,39.400002,37.306114,21473552
2019-02-22,38.900002,39.150002,38.400002,39.000000,36.927372,15465635
2019-02-25,39.000000,40.099998,39.000000,39.250000,37.164085,20754336
2019-02-26,39.200001,39.650002,39.049999,39.349998,37.258770,14595973
2019-02-27,39.400002,40.450001,38.799999,39.750000,37.637512,13613521
2019-02-28,39.049999,40.000000,38.400002,39.200001,37.116741,15216388
2019-03-01,39.150002,39.500000,38.450001,39.049999,36.974712,15828026
2019-03-04,39.200001,39.500000,38.700001,39.250000,37.164085,19642981
2019-03-05,38.849998,39.250000,38.150002,38.799999,36.737999,17107656
2019-03-06,38.400002,39.200001,38.349998,39.000000,36.927372,13284644
2019-03-07,38.700001,38.900002,38.000000,38.250000,36.217228,17173008
2019-03-08,37.799999,38.099998,37.500000,37.799999,35.791142,13962429
2019-03-11,37.599998,38.400002,37.200001,37.650002,35.649117,10384386
2019-03-12,38.400002,38.500000,37.599998,37.950001,35.933170,11269783
2019-03-13,38.200001,38.200001,37.099998,37.650002,35.649117,8402016
2019-03-14,37.599998,37.599998,36.799999,37.150002,35.175690,7266922
2019-03-15,37.250000,38.450001,37.250000,38.299999,36.264568,11238131
2019-03-18,38.450001,38.500000,37.599998,38.250000,36.217228,8618545
2019-03-19,38.099998,38.450001,37.900002,38.299999,36.264568,8532369
2019-03-20,38.450001,38.450001,38.049999,38.250000,36.217228,4926365
2019-03-21,38.450001,39.150002,38.450001,38.650002,36.595970,7381654
2019-03-22,38.950001,39.750000,38.400002,38.450001,36.406597,8741847
2019-03-25,37.799999,37.950001,37.099998,37.349998,35.365055,10296768
2019-03-26,37.599998,37.900002,37.299999,37.500000,35.507088,6526702
2019-03-27,37.849998,38.849998,37.700001,38.599998,36.548622,8757599
2019-03-28,38.299999,39.299999,38.200001,38.849998,36.785339,8953748
2019-03-29,38.599998,39.450001,38.400002,39.450001,37.353455,9486310
2019-04-01,39.799999,41.500000,39.650002,41.450001,39.247166,21019121
2019-04-02,41.950001,42.650002,41.299999,42.299999,40.051991,28142849
2019-04-03,43.000000,43.000000,41.849998,42.400002,40.146679,14363567
2019-04-04,42.049999,42.750000,41.700001,42.599998,40.336048,10129395
2019-04-08,42.900002,42.950001,41.900002,42.000000,39.767937,9306348
2019-04-09,42.599998,42.950001,42.000000,42.900002,40.620106,8069725
2019-04-10,42.650002,43.349998,42.099998,43.299999,40.998844,10061410
2019-04-11,43.000000,43.000000,41.799999,42.250000,40.004650,13622477
2019-04-12,42.150002,42.549999,41.450001,42.500000,40.241364,13242001
2019-04-15,43.349998,43.500000,42.650002,43.299999,40.998844,11252355
2019-04-16,43.500000,43.500000,41.750000,43.150002,40.856819,10737296
2019-04-17,43.299999,43.400002,42.799999,43.400002,41.093536,7666534
2019-04-18,43.599998,44.099998,42.849998,43.049999,40.762131,9419532
2019-04-23,42.799999,43.799999,42.450001,43.599998,41.282906,15423718
2019-04-24,44.000000,44.000000,42.400002,42.750000,40.478077,12864178
2019-04-25,43.400002,43.400002,42.000000,42.049999,39.815277,10670996
2019-04-26,41.549999,43.099998,41.549999,42.849998,40.572762,9403749
2019-04-29,43.200001,44.700001,42.900002,43.950001,41.614307,16613548
2019-04-30,43.549999,43.799999,42.799999,43.099998,40.809475,14379278
2019-05-02,42.200001,43.900002,42.200001,43.799999,41.472279,9889120
2019-05-03,43.549999,43.750000,43.099998,43.599998,41.282906,5299031
2019-05-06,42.000000,42.299999,40.900002,41.450001,39.247166,15752873
2019-05-07,41.799999,42.500000,41.450001,42.250000,40.004650,11036268
2019-05-08,41.150002,42.000000,41.099998,41.650002,39.436539,7731206
2019-05-09,41.799999,41.799999,40.049999,40.400002,38.252968,16326698
2019-05-10,40.750000,41.650002,40.349998,41.450001,39.247166,12510017
2019-05-14,40.500000,40.500000,38.750000,39.400002,37.306114,26781718
2019-05-15,39.400002,40.099998,39.049999,39.900002,37.779541,10384267
2019-05-16,40.099998,40.450001,39.700001,40.049999,37.921566,8459416
2019-05-17,40.250000,40.400002,38.400002,38.849998,36.785339,14634446
2019-05-20,39.599998,39.599998,37.599998,37.900002,35.885830,17012954
2019-05-21,37.900002,38.599998,37.400002,37.799999,35.791142,17664228
2019-05-22,38.299999,39.450001,38.099998,38.750000,36.690659,17564710
2019-05-23,38.099998,38.450001,37.299999,37.750000,35.743801,21149527
2019-05-24,37.349998,37.750000,36.349998,36.599998,34.654915,27006292
2019-05-27,36.450001,36.900002,36.000000,36.549999,34.607574,9450983
2019-05-28,36.500000,37.500000,35.650002,36.950001,34.986317,14729773
2019-05-29,36.849998,36.849998,35.750000,35.950001,34.039459,17080289
2019-05-30,35.250000,35.349998,34.450001,34.849998,33.942062,10248651
2019-05-31,34.549999,35.700001,34.200001,35.500000,34.575130,13345146
2019-06-03,35.500000,35.500000,33.200001,34.299999,33.406395,28388981
2019-06-04,34.450001,34.450001,32.799999,33.599998,32.724628,25538921
2019-06-05,34.900002,35.049999,34.049999,34.700001,33.795975,21050377
2019-06-06,35.000000,35.500000,34.799999,34.950001,34.039459,13647390
2019-06-10,35.599998,37.450001,35.400002,37.299999,36.328236,24252119
2019-06-11,37.900002,37.900002,36.900002,37.099998,36.133446,17394073
2019-06-12,36.700001,36.900002,35.650002,36.349998,35.402985,11764242
2019-06-13,36.049999,36.599998,35.650002,36.349998,35.402985,8863428
2019-06-14,35.799999,36.450001,35.700001,36.000000,35.062103,8982907
2019-06-17,35.799999,36.599998,35.549999,35.700001,34.769920,8377892
2019-06-18,35.650002,35.900002,35.549999,35.700001,34.769920,7666505
2019-06-19,37.799999,37.799999,37.049999,37.500000,36.523026,21990655
2019-06-20,37.750000,38.000000,37.299999,37.950001,36.961304,9134516
2019-06-21,38.150002,38.200001,37.000000,37.299999,36.328236,11003628
