Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.190000,5.190000,4.880000,4.970000,4.936913,40901632
2019-01-03,5.000000,5.000000,4.530000,4.630000,4.599176,99950940
2019-01-04,4.550000,5.020000,4.530000,5.020000,4.986580,95829040
2019-01-07,5.080000,5.150000,4.910000,5.010000,4.976647,50632509
2019-01-08,5.060000,5.070000,4.920000,5.050000,5.016381,36802521
2019-01-09,5.100000,5.250000,5.010000,5.080000,5.046180,60328790
2019-01-10,5.130000,5.690000,5.050000,5.670000,5.632253,175624778
2019-01-11,5.670000,5.670000,5.380000,5.450000,5.413717,114131061
2019-01-14,5.450000,5.480000,5.310000,5.360000,5.324317,33746756
2019-01-15,5.420000,5.480000,5.280000,5.460000,5.423651,53666455
2019-01-16,5.420000,5.940000,5.410000,5.850000,5.811054,129035493
2019-01-17,5.920000,6.170000,5.700000,6.020000,5.979923,136957389
2019-01-18,6.170000,6.550000,6.160000,6.460000,6.416994,152919348
2019-01-21,6.510000,6.550000,6.160000,6.230000,6.188525,78000282
2019-01-22,6.110000,6.190000,5.810000,6.030000,5.989856,100990982
2019-01-23,5.930000,6.120000,5.900000,6.100000,6.059391,56407075
2019-01-24,6.200000,6.200000,6.030000,6.090000,6.049457,55126348
2019-01-25,6.130000,6.160000,6.020000,6.090000,6.049457,46820791
2019-01-28,6.120000,6.140000,5.860000,6.000000,5.960055,64584440
2019-01-29,5.950000,6.420000,5.920000,6.380000,6.337526,102947960
2019-01-30,6.420000,6.480000,6.270000,6.310000,6.267992,61634837
2019-01-31,6.420000,6.600000,6.360000,6.600000,6.556061,85667822
2019-02-01,6.660000,6.710000,6.460000,6.700000,6.655396,74312311
2019-02-04,6.630000,6.730000,6.540000,6.730000,6.685196,26179730
2019-02-08,6.540000,6.680000,6.300000,6.600000,6.556061,42364335
2019-02-11,6.590000,6.730000,6.420000,6.710000,6.665329,56530682
2019-02-12,6.690000,7.070000,6.600000,7.050000,7.003066,97198792
2019-02-13,7.080000,7.100000,6.870000,7.060000,7.012999,70283576
2019-02-14,7.090000,7.220000,7.000000,7.110000,7.062666,59823340
2019-02-15,7.110000,7.110000,6.690000,6.890000,6.844131,99238574
2019-02-18,6.950000,7.050000,6.810000,6.960000,6.913664,65431184
2019-02-19,6.980000,6.980000,6.500000,6.540000,6.496461,107019035
2019-02-20,6.640000,6.650000,6.210000,6.410000,6.367326,110559682
2019-02-21,6.380000,6.630000,6.360000,6.520000,6.476594,58156500
2019-02-22,6.520000,6.610000,6.430000,6.580000,6.536194,46851591
2019-02-25,6.610000,6.690000,6.460000,6.660000,6.615662,68678000
2019-02-26,6.750000,7.100000,6.510000,7.010000,6.963332,120920540
2019-02-27,7.050000,7.060000,6.800000,6.900000,6.854064,49064007
