Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.480000,5.490000,5.170000,5.240000,5.045588,11648257
2019-01-03,5.200000,5.530000,5.200000,5.530000,5.324828,20135096
2019-01-04,5.530000,5.710000,5.450000,5.700000,5.488521,16289000
2019-01-07,5.760000,5.850000,5.710000,5.850000,5.632955,9532519
2019-01-08,5.850000,5.920000,5.700000,5.890000,5.671472,12517781
2019-01-09,5.950000,6.220000,5.900000,6.030000,5.806278,38122048
2019-01-10,6.000000,6.250000,6.000000,6.230000,5.998857,15425130
2019-01-11,6.240000,6.240000,5.970000,6.140000,5.912196,14548036
2019-01-14,6.090000,6.200000,5.940000,6.050000,5.825535,10245000
2019-01-15,6.080000,6.320000,6.020000,6.270000,6.037373,19001197
2019-01-16,6.200000,6.360000,6.200000,6.230000,5.998857,10078164
2019-01-17,6.200000,6.310000,6.120000,6.210000,5.979599,18705180
2019-01-18,6.220000,6.220000,6.060000,6.130000,5.902567,13898785
2019-01-21,6.060000,6.100000,5.910000,6.030000,5.806278,21485000
2019-01-22,6.030000,6.060000,5.900000,6.020000,5.796649,12452300
2019-01-23,5.960000,6.180000,5.920000,6.060000,5.835164,7601000
2019-01-24,6.100000,6.150000,6.030000,6.100000,5.873680,11363000
2019-01-25,6.100000,6.200000,6.000000,6.200000,5.969970,15409000
2019-01-28,6.250000,6.300000,6.050000,6.130000,5.902567,10554332
2019-01-29,6.200000,6.270000,6.080000,6.240000,6.008485,11427716
2019-01-30,6.250000,6.260000,6.070000,6.160000,5.931454,15779692
2019-01-31,6.110000,6.340000,6.110000,6.330000,6.095147,11083446
2019-02-01,6.360000,6.430000,6.350000,6.400000,6.162550,12779749
2019-02-04,6.430000,6.430000,6.310000,6.380000,6.143291,3413019
2019-02-08,6.350000,6.450000,6.140000,6.400000,6.162550,8311704
2019-02-11,6.460000,6.470000,6.280000,6.440000,6.201066,9274232
2019-02-12,6.420000,6.460000,6.350000,6.420000,6.181808,9359754
2019-02-13,6.430000,6.550000,6.300000,6.500000,6.258839,18134000
2019-02-14,6.420000,6.580000,6.390000,6.460000,6.220324,13690228
2019-02-15,6.400000,6.500000,6.300000,6.430000,6.191436,10475492
2019-02-18,6.490000,6.550000,6.380000,6.490000,6.249210,7358000
2019-02-19,6.580000,6.580000,6.360000,6.400000,6.162550,12210000
2019-02-20,6.520000,6.630000,6.460000,6.580000,6.335871,22327135
2019-02-21,6.600000,6.750000,6.540000,6.700000,6.451419,21381481
2019-02-22,6.740000,6.740000,6.570000,6.630000,6.384016,9650218
2019-02-25,6.550000,6.640000,6.450000,6.470000,6.229952,9267000
2019-02-26,6.540000,6.600000,6.440000,6.520000,6.278098,10856000
2019-02-27,6.470000,6.590000,6.440000,6.480000,6.239582,13453000
2019-02-28,6.430000,6.480000,6.310000,6.330000,6.095147,16290682
2019-03-01,6.340000,6.430000,6.290000,6.420000,6.181808,9681639
2019-03-04,6.470000,6.570000,6.340000,6.400000,6.162550,9525000
2019-03-05,6.320000,6.460000,6.310000,6.320000,6.085518,8832808
2019-03-06,6.300000,6.320000,6.250000,6.290000,6.056631,11016688
2019-03-07,6.320000,6.430000,6.230000,6.250000,6.018115,7962305
2019-03-08,6.050000,6.210000,6.050000,6.090000,5.864051,8253636
2019-03-11,6.090000,6.130000,6.070000,6.110000,5.883309,10273676
2019-03-12,6.210000,6.300000,6.170000,6.250000,6.018115,6350659
2019-03-13,6.210000,6.290000,6.160000,6.200000,5.969970,5408300
2019-03-14,6.280000,6.300000,6.160000,6.260000,6.027744,8147565
2019-03-15,6.200000,6.300000,6.140000,6.220000,5.989228,16471853
2019-03-18,6.370000,6.380000,6.210000,6.370000,6.133662,14453892
2019-03-19,6.460000,6.460000,6.300000,6.400000,6.162550,16705047
2019-03-20,6.390000,6.500000,6.360000,6.490000,6.249210,16108525
2019-03-21,6.600000,6.600000,6.410000,6.510000,6.268468,12671449
2019-03-22,6.620000,6.620000,6.380000,6.480000,6.239582,10768122
2019-03-25,6.360000,6.380000,6.250000,6.330000,6.095147,11367200
2019-03-26,6.460000,6.480000,6.240000,6.440000,6.201066,16401048
2019-03-27,6.360000,6.490000,6.310000,6.490000,6.249210,10451024
2019-03-28,6.490000,6.580000,6.450000,6.510000,6.268468,7811881
2019-03-29,6.580000,6.580000,6.500000,6.520000,6.278098,9662476
2019-04-01,6.540000,6.620000,6.500000,6.530000,6.287727,10570920
2019-04-02,6.570000,6.570000,6.480000,6.510000,6.268468,6374728
2019-04-03,6.560000,6.720000,6.520000,6.710000,6.461048,11930688
2019-04-04,6.720000,6.720000,6.600000,6.640000,6.393645,7444415
2019-04-08,6.680000,6.790000,6.590000,6.640000,6.393645,11227641
2019-04-09,6.630000,6.690000,6.560000,6.640000,6.393645,9160388
2019-04-10,6.700000,6.700000,6.460000,6.550000,6.306984,8673100
2019-04-11,6.500000,6.530000,6.460000,6.490000,6.249210,8988060
2019-04-12,6.520000,6.530000,6.330000,6.380000,6.143291,7931311
2019-04-15,6.360000,6.500000,6.290000,6.290000,6.056631,4277603
2019-04-16,6.400000,6.410000,6.270000,6.350000,6.114405,6096183
2019-04-17,6.330000,6.340000,6.240000,6.270000,6.037373,6365349
2019-04-18,6.230000,6.270000,6.170000,6.210000,5.979599,6817188
2019-04-23,6.100000,6.210000,6.100000,6.200000,5.969970,5782774
2019-04-24,6.200000,6.260000,6.140000,6.210000,5.979599,5995270
2019-04-25,6.160000,6.270000,6.150000,6.190000,5.960341,6222176
2019-04-26,6.210000,6.210000,6.100000,6.170000,5.941083,5930544
2019-04-29,6.240000,6.260000,6.160000,6.240000,6.008485,3523500
2019-04-30,6.160000,6.270000,6.100000,6.220000,5.989228,5626657
2019-05-02,6.250000,6.320000,6.140000,6.300000,6.066260,6445063
2019-05-03,6.280000,6.300000,6.190000,6.290000,6.056631,7047000
2019-05-06,6.200000,6.240000,6.080000,6.230000,5.998857,9900110
2019-05-07,6.260000,6.350000,6.180000,6.330000,6.095147,11434000
2019-05-08,6.230000,6.470000,6.170000,6.230000,5.998857,19832507
2019-05-09,6.210000,6.250000,6.080000,6.230000,5.998857,18443233
2019-05-10,6.300000,6.300000,6.050000,6.170000,5.941083,19540992
2019-05-14,6.000000,6.240000,5.920000,6.050000,5.825535,14360348
2019-05-15,5.960000,6.080000,5.900000,6.020000,5.796649,16489765
2019-05-16,5.930000,6.180000,5.930000,6.130000,5.902567,9630396
2019-05-17,6.130000,6.190000,5.930000,6.070000,5.844793,16118680
2019-05-20,6.120000,6.120000,5.960000,6.000000,5.777390,9109009
2019-05-21,6.000000,6.020000,5.870000,5.900000,5.681101,14037000
2019-05-22,5.930000,5.940000,5.800000,5.810000,5.594440,8635350
2019-05-23,5.800000,5.920000,5.700000,5.820000,5.604069,9725867
2019-05-24,5.790000,5.840000,5.700000,5.820000,5.604069,9753198
2019-05-27,5.810000,5.810000,5.650000,5.670000,5.459634,11174350
2019-05-28,5.630000,5.780000,5.520000,5.750000,5.536666,30328125
2019-05-29,5.710000,5.800000,5.630000,5.720000,5.507778,7328462
2019-05-30,5.690000,5.720000,5.560000,5.630000,5.421118,17096917
2019-05-31,5.640000,5.640000,5.530000,5.590000,5.382602,12799090
2019-06-03,5.630000,5.840000,5.550000,5.780000,5.565553,17345904
2019-06-04,5.730000,5.780000,5.600000,5.680000,5.469263,6569745
2019-06-05,5.810000,5.810000,5.700000,5.760000,5.546295,9051000
2019-06-06,5.690000,5.800000,5.570000,5.730000,5.517407,9747000
2019-06-10,5.730000,5.960000,5.710000,5.910000,5.690729,12530492
2019-06-11,5.930000,5.960000,5.800000,5.890000,5.671472,7458507
