Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6.100000,6.100000,5.750000,5.790000,5.629092,25280873
2019-01-03,5.830000,5.940000,5.660000,5.690000,5.531871,18428019
2019-01-04,5.640000,5.850000,5.580000,5.850000,5.687425,17824982
2019-01-07,5.890000,6.080000,5.850000,6.040000,5.872145,35909801
2019-01-08,6.100000,6.320000,6.060000,6.250000,6.076309,54709652
2019-01-09,6.380000,6.620000,6.310000,6.490000,6.309639,85378448
2019-01-10,6.450000,6.590000,6.240000,6.510000,6.329083,26125114
2019-01-11,6.500000,6.590000,6.420000,6.550000,6.367972,21063427
2019-01-14,6.570000,6.570000,6.310000,6.480000,6.299917,23356279
2019-01-15,6.610000,6.730000,6.430000,6.720000,6.533247,27033045
2019-01-16,6.730000,6.870000,6.640000,6.810000,6.620746,33486143
2019-01-17,6.820000,6.830000,6.630000,6.670000,6.484637,20967404
2019-01-18,6.770000,6.810000,6.640000,6.680000,6.494359,18362724
2019-01-21,6.720000,6.960000,6.620000,6.860000,6.669357,41040150
2019-01-22,6.810000,6.880000,6.650000,6.700000,6.513803,24908986
2019-01-23,6.650000,6.750000,6.640000,6.700000,6.513803,22688978
2019-01-24,6.680000,6.850000,6.610000,6.840000,6.649912,31455772
2019-01-25,6.880000,6.890000,6.780000,6.860000,6.669357,32884519
2019-01-28,6.890000,6.890000,6.800000,6.850000,6.659635,21440681
2019-01-29,6.850000,6.880000,6.700000,6.820000,6.630468,25700612
2019-01-30,6.790000,6.830000,6.700000,6.740000,6.552691,23306148
2019-01-31,6.760000,6.800000,6.600000,6.720000,6.533247,28889137
2019-02-01,6.780000,7.130000,6.690000,7.100000,6.902687,42657689
2019-02-04,7.000000,7.170000,6.930000,7.010000,6.815188,12310849
2019-02-08,6.900000,6.900000,6.580000,6.790000,6.601302,32963425
2019-02-11,6.750000,7.000000,6.740000,6.960000,6.766578,34407580
2019-02-12,6.900000,7.290000,6.900000,7.250000,7.048519,42985804
2019-02-13,7.330000,7.600000,7.310000,7.560000,7.349903,67832516
2019-02-14,7.460000,7.540000,7.270000,7.290000,7.087407,62499716
2019-02-15,7.150000,7.430000,7.070000,7.390000,7.184628,51558394
2019-02-18,7.500000,7.680000,7.460000,7.580000,7.369347,44530888
2019-02-19,7.670000,7.670000,7.320000,7.420000,7.213794,35430301
2019-02-20,7.390000,7.580000,7.330000,7.480000,7.272126,43441949
2019-02-21,7.500000,7.750000,7.320000,7.630000,7.417958,82983648
2019-02-22,7.530000,7.960000,7.530000,7.890000,7.670732,51204358
2019-02-25,7.830000,7.880000,7.620000,7.780000,7.563789,49131300
2019-02-26,7.650000,7.670000,7.260000,7.360000,7.155461,61139086
2019-02-27,7.300000,7.360000,7.030000,7.050000,6.854077,70804944
2019-02-28,7.030000,7.210000,6.970000,6.970000,6.776299,63428616
2019-03-01,6.920000,7.120000,6.880000,7.070000,6.873521,40316119
2019-03-04,7.230000,7.330000,7.150000,7.170000,6.970742,66433051
2019-03-05,7.130000,7.140000,6.900000,7.000000,6.805466,54814041
2019-03-06,7.050000,7.340000,7.010000,7.300000,7.097129,45338939
2019-03-07,7.300000,7.340000,7.160000,7.240000,7.038796,28402083
2019-03-08,7.100000,7.210000,7.020000,7.110000,6.912409,30940411
2019-03-11,7.080000,7.350000,7.080000,7.270000,7.067963,36638235
2019-03-12,7.350000,7.860000,7.340000,7.740000,7.524901,80113663
2019-03-13,7.800000,7.830000,7.600000,7.600000,7.388792,61358002
2019-03-14,7.600000,7.660000,7.460000,7.460000,7.252682,47125822
2019-03-15,7.480000,8.040000,7.430000,7.800000,7.583233,99423627
2019-03-18,7.900000,8.400000,7.900000,8.220000,7.991562,200835284
2019-03-19,8.310000,8.740000,8.270000,8.670000,8.429055,139477858
2019-03-20,8.500000,8.690000,8.390000,8.500000,8.263780,139514212
2019-03-21,8.800000,8.820000,8.450000,8.470000,8.234613,110476541
2019-03-22,8.550000,8.670000,8.300000,8.470000,8.234613,112561300
2019-03-25,8.140000,8.530000,8.090000,8.350000,8.117949,117947920
